ASV_ID	Domain	Phylum	Class	Order	Family	Genus	Species	Confidence
02cd5d9edc6bfab1afe93ab750561584	Eukaryota	 Apicomplexa	 Novel_Apicomplexa_Class_2	 Novel_Apicomplexa_Class_2	 Novel_Apicomplexa_Class_2	 Novel_Apicomplexa_Class_2	 uncultured_eukaryote	0.99635392
02cedea99e7433b9874e6f9dff57290d	Eukaryota	 Dinoflagellata	 Dinophyceae	 Gymnodiniphycidae	 Gymnodiniphycidae	 Gyrodinium		0.7938904930757875
02d5db9a4d87bd446527899a52d8b8a0	Eukaryota	 Ciliophora	 Intramacronucleata	 Conthreep	 Phyllopharyngea	 Acineta		0.9393357701875664
02d926fd441b6c1b3abeb4bbbddd28eb	Eukaryota	 Prymnesiophyceae	 Prymnesiophyceae	 Prymnesiophyceae	 Prymnesiophyceae	 Phaeocystis	 Haptophyta_environmental	0.7794518810160228
02da629c15569f5461a0d29af7a202bc	Eukaryota	 Annelida	 Polychaeta	 Echiuroinea	 Echiuroinea	 Echiuroinea	 Echiurus_echiurus	0.9077415742479837
02dd646f2fd40a53a9fad6b8d686f3a4	Eukaryota	 Dinoflagellata	 Dinophyceae					0.929900787
02e446592ff4e0343757b0e74f75165b	Eukaryota	 Prymnesiophyceae	 Prymnesiophyceae	 Prymnesiales	 Prymnesiales	 Chrysochromulina	 uncultured_eukaryote	0.9245698005027426
02f7f3cf95b5cc66a126c2bf68f7e793	Eukaryota	 Chlorophyta	 Mamiellophyceae	 DSGM-81	 DSGM-81	 DSGM-81	 uncultured_eukaryote	0.9129271349053066
0302971dd068b98cf6a2d50d07c72bf4	Eukaryota	 Ciliophora	 Intramacronucleata	 Spirotrichea	 Oligotrichia			0.999996289
031337c4dbc9b6db1267268482d6fdb5	Eukaryota	 Cercozoa	 Ascetosporea	 Haplosporida	 Haplosporida			0.9999731768083119
033017de992ef3dca14c21c3b6247e99	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales				0.999958283
033aad90d278752bb35a9c2f00e8dd34	Eukaryota	 Protalveolata	 Syndiniales	 Syndiniales	 Syndiniales_Group_II	 Syndiniales_Group_II	 uncultured_eukaryote	0.7345182394606868
035be66b83c76be835eefd07cdafbcb5	Eukaryota	 Vertebrata	 Actinopterygii	 Teleostei	 Teleostei	 Teleostei		0.9978258656879523
0382e6dcaeb46c8093787e0d330fe8dd	Eukaryota	 Cercozoa	 Imbricatea	 Imbricatea	 Euglyphida	 Paulinella	 uncultured_eukaryote	0.9929980307074856
0387740224e29101809e3042db77d25d	Eukaryota	 Retaria	 Acantharia	 Acantharea_Group_I	 Acantharea_Group_I	 Acantharea_Group_I	 uncultured_marine	0.943354676
038a6f2f0c388908ce9ae27c92c02949	Eukaryota	 Cercozoa	 Thecofilosea	 Thecofilosea	 Thecofilosea	 uncultured		0.9999985866155033
03b3544f8b4de6a9ec892858997c9026	Eukaryota							0.9999999943671128
03bc62e67b0288946fc4222b501dbd7e	Eukaryota	 Holozoa	 Choanoflagellida	 Clade_L	 Clade_L	 Clade_L	 uncultured_freshwater	0.9999228942520272
03c624a56243b6e24f6894556862eddc	Eukaryota	 Dinoflagellata	 Dinophyceae	 Gonyaulacales	 Gonyaulacales	 Neoceratium	 uncultured_marine	0.7877141190529825
03d688c960f27c10b52ddd18f11866e9	Eukaryota	 Ciliophora	 Intramacronucleata	 Spirotrichea	 Oligotrichia			0.9999189842210442
03d830154bcd3be5942c9a00876ce47a	Eukaryota	 Mollusca	 Bivalvia	 Myoida	 Myoida	 Myoida		0.9830018066163937
03f11ae979981db6a3c8d01fd6720229	Eukaryota	 Cercozoa	 Phytomyxea	 Phytomyxea	 Phytomyxea	 uncultured	 Spongospora_sp.	0.7898446439674435
03f616a06fb179093d04a33c34659c35	Eukaryota							0.9999999999960035
04071239ad268a5cc009cf77889b0b47	Eukaryota	 Cercozoa						0.9938074447221448
