sampleID	seq_sampleID	Date	transect_no	sample_no	Depth (m)	Location	latitude	longitude	niskin_time	freeze_time	Volume filtered (ml SW)	field_notes	extraction_date	elution_volume	nanodrop_dna	nanodrop_260-230	nanodrop_260-280	COI_16S_18S_PCR_dilutions	COI_16S_18S_qPCR_dilutions	12S_dilutions	16S_spike_copies	16Sin_qPCR_quantity	16S_qPCR_quantity	16SV4V5_seq	16S_DADA2_reads	16S_spike_main_ASV	18S_spike_copies	18S_qPCR_quantity	18SV4_seq	18S_DADA2_reads	18S_spike_main_ASV	12S_qPCR_quantity	12S_DADA2_reads	COI_spike_copies	COI_qPCR_quantity
BBT13-2B	BBT13_2B_2023Sep25_Tufts_1m	2023-09-25	13	2	1	Tufts Cove	44.40472	-63.35711	9:56	10:04	720		2024-06-07	100	105.6	1.98	1.9	0.2	0.01	1	500000000	22242	780192	original	22026	10	1000000	200608	original	49740	150	56	29519	10000000	14545
BBT13-3B	BBT13_3B_2023Sep25_McKayBridge_21m	2023-09-25	13	3	21	McKay bridge	44.40625	-63.36757	10:45	10:52	1445		2024-06-07	100	26.7	1.85	2.14	0.5	0.01	1	500000000	67291	267501	original	7795	29	1000000	49091	original	12931	197	117	28685	10000000	2468
BBT13-4B	BBT13_4B_2023Sep25_McKayBridge_1m	2023-09-25	13	4	1	McKay bridge	44.40625	-63.36757	10:52	11:01	500		2024-06-07	100	75.2	1.78	1.9	0.25	0.01	1	500000000	60073	569925	original	22150	57	1000000	242859	original	51856	378	59	29407	10000000	11253
BBT13-5B	BBT13_5B_2023Sep25_DRDCBarge_43m	2023-09-25	13	5	43	DRDC barge	44.40625	-63.36757	12:10	12:20	840		2024-06-07	100	69.1	0.81	1.59	0.25	0.01	1	500000000	35138	162208	original	10803	28	1000000	58733	original	18086	317	455	31997	10000000	846
BBT13-6B	BBT13_6B_2023Sep25_DRDCBarge_1m	2023-09-25	13	6	1	DRDC barge	44.40625	-63.36757	12:19	12:29	620		2024-06-07	100	114.4	1.36	1.82	0.2	0.01	1	500000000	77774	643986	original	32823	50	1000000	68574	original	26834	234	43	32498	10000000	11548
BBT13-7B	BBT13_7B_2023Sep25_SackvilleRiver_15m	2023-09-25	13	7	15	Sackville River	44.4303	-63.40106	13:26	13:33	1340		2024-06-07	100	65.7	1.02	1.73	0.25	0.01	1	500000000	101779	324638	original	17083	48	1000000	224399	original	50056	1027	78	27338	10000000	3346
BBT13-8B	BBT13_8B_2023Sep25_SackvilleRiver_1m	2023-09-25	13	8	1	Sackville River	44.4303	-63.40106	13:32	13:44	620		2024-06-07	100	78.3	1.48	1.9	0.25	0.01	1	500000000	93625	684639	original	44470	53	1000000	269234	original	63660	664	154	32021	10000000	8274
BBT13-9B	BBT13_9B_2023Sep25_McNabsIsland_32m	2023-09-25	13	9	32	McNabs Island	44.37006	-63.32841	16:31	16:36	1000		2024-06-07	100	35.1	0.86	1.7	0.5	0.01	1	500000000	18824	138670	original	12481	102	1000000	34289	original	13107	921	220	21296	10000000	778
BBT13-BL1	BBT13_Blank1_2023Sep25_CoolerBlank_0m	2023-09-25	13	Blank1	0	Cooler blank 1	N/A	N/A	9:10	9:18	1000	OAE MgOH release sampling was on Sept 12 and 15. 	2024-06-07	100	5.5	0.93	3.02	1	0.01	1	500000000	21840	36470	original	12924	4713	1000000	480	original	11225	10921	15	31624	10000000	58
BBT13-BL2	BBT13_Blank2_2023Sep25_CoolerBlank_0m	2023-09-25	13	Blank2	0	Cooler blank 2	N/A	N/A	13:39	13:46	940		2024-06-07	100	9.6	0.65	1.91	1	0.01	1	500000000	83528	51164	Failed	3139	2485	1000000	1174	original	7062	5321	43	23857	10000000	82
BBT14-10B	BBT14_10B_2023Nov03_McKayBridge_1m	2023-11-03	14	10	1	McKay bridge	44.40617	-63.36779	15:12	15:18	650		2024-06-13	100	74.7	2.02	1.89	0.25	0.01	1	500000000	94040	824550	original	9829	10	1000000	349881	original	19043	212	45	29503	10000000	8967
BBT14-11B	BBT14_11B_2023Nov03_Tufts_12m	2023-11-03	14	11	12	Tufts Cove	44.40466	-63.35707	15:29	15:35	550		2024-06-13	100	44.1	1.73	1.87	0.5	0.01	1	500000000	58865	575761	original	11125	33	1000000	144993	original	12146	251	46	30698	10000000	5359
BBT14-12B	BBT14_12B_2023Nov03_Tufts_1m	2023-11-03	14	12	1	Tufts Cove	44.40466	-63.35707	15:35	15:41	650		2024-06-13	100	54.6	1.83	1.84	0.5	0.01	1	500000000	56189	377102	cleaned	5824	39	1000000	170134	original	N/A	N/A	50	28718	10000000	4310
BBT14-3B	BBT14_3B_2023Nov03_McNabsIsland_36m	2023-11-03	14	3	36	McNabs Island	44.37022	-63.32816	11:40	11:50	1080		2024-06-13	100	35.4	1.71	1.85	0.5	0.01	1	500000000	106128	625320	cleaned	19464	97	1000000	30868	cleaned	95786	1890	148	26871	10000000	6302
BBT14-4B	BBT14_4B_2023Nov03_McNabsIsland_1m	2023-11-03	14	4	1	McNabs Island	44.37022	-63.32816	11:50	11:59	950		2024-06-13	100	51.8	2.04	1.91	0.5	0.01	1	500000000	40462	587735	original	10396	25	1000000	92881	original	5057	137	66	26802	10000000	8412
BBT14-5B	BBT14_5B_2023Nov03_SackvilleRiver_15m	2023-11-03	14	5	15	Sackville River	44.43087	-63.40109	13:58	14:08	1075		2024-06-13	100	62.2	2.11	1.9	0.25	0.01	1	500000000	138033	998790	original	19153	49	1000000	542711	original	19957	198	79	33017	10000000	13004
BBT14-6B	BBT14_6B_2023Nov03_SackvilleRiver_1m	2023-11-03	14	6	1	Sackville River	44.43087	-63.40109	14:07	14:15	650		2024-06-13	100	90.8	2.01	1.93	0.25	0.01	1	500000000	76982	909802	original	37183	153	1000000	206915	original	36551	433	321	35787	10000000	11230
BBT14-7B	BBT14_7B_2023Nov03_DRDCBarge_46m	2023-11-03	14	7	46	DRDC barge	44.41255	-63.39116	14:30	14:39	750		2024-06-13	100	52.2	1.87	1.88	0.5	0.01	1	500000000	24086	684588	original	27017	77	1000000	154039	original	41205	303	71	34326	10000000	7408
BBT14-8B	BBT14_8B_2023Nov03_DRDCBarge_1m	2023-11-03	14	8	1	DRDC barge	44.41255	-63.39116	14:38	14:45	600		2024-06-13	100	51.4	1.85	1.86	0.5	0.01	1	500000000	51576	1010166	original	31735	181	1000000	119857	original	12976	104	43	27736	10000000	11069
BBT14-9B	BBT14_9B_2023Nov03_McKayBridge_22m	2023-11-03	14	9	22	McKay bridge	44.40617	-63.36779	15:05	15:13	650		2024-06-13	100	35.1	1.84	1.87	0.5	0.01	1	500000000	57613	650377	original	17491	94	1000000	90452	original	10784	269	61	27178	10000000	5878
BBT14-BL2	BBT14_Blank2_2023Nov03_CoolerBlank_0m	2023-11-03	14	Blank2	0	Cooler blank 1	N/A	N/A	11:08	11:12	850		2024-06-13	100	5.7	0.84	2.3	1	0.01	1	500000000	116453	106005	original	6817	3887	1000000	2213	original	22766	17910	23	23162	10000000	183
BBT14-BL3	BBT14_Blank3_2023Nov03_CoolerBlank_0m	2023-11-03	14	Blank3	0	Cooler blank 2	N/A	N/A	14:13	14:18	600		2024-06-13	100	7.3	0.88	2.05	1	0.01	1	500000000	35037	101852	original	4719	3340	1000000	2127	original	22465	9811	28	10908	10000000	127
BBT15-1B	BBT15_1B_2023Nov24_McNabsIsland_26m	2023-11-24	15	1	26	McNabs Island	44.36997	-63.32658	9:05	9:10	1120		2024-06-14	100	35.3	1.86	1.82	0.5	0.01	1	500000000	148893	642527	original	7498	30	1000000	138014	original	19999	288	44	19363	10000000	7780
BBT15-11B	BBT15_11B_2023Nov24_SackvilleRiver_15m	2023-11-24	15	11	15	Sackville River	44.71788	-63.66819	11:29	11:42	800		2024-06-14	100	42.6	2.27	1.91	0.5	0.01	1	500000000	44293	647792	original	12843	34	1000000	602202	original	34961	261	26	13599	10000000	5817
BBT15-12B	BBT15_12B_2023Nov24_SackvilleRiver_1m	2023-11-24	15	12	1	Sackville River	44.71788	-63.66819	11:39	11:48	510		2024-06-14	100	46.4	2.24	1.87	0.5	0.01	1	500000000	63563	995611	original	20463	22	1000000	537757	original	31190	198	19	15707	10000000	6728
BBT15-13B	BBT15_13B_2023Nov24_DRDCBarge_46m	2023-11-24	15	13	46	DRDC barge	44.68656	-63.65201	11:58	12:09	1060		2024-06-14	100	41	1.16	1.75	0.5	0.01	1	500000000	8854	82750	original	4258	7	1000000	24717	original	9736	135	379	21596	10000000	439
BBT15-14B	BBT15_14B_2023Nov24_DRDCBarge_1m	2023-11-24	15	14	1	DRDC barge	44.68656	-63.65201	12:08	12:17	690		2024-06-14	100	41.5	2.37	1.92	0.5	0.01	1	500000000	20182	148298	original	15198	30	1000000	102770	original	29053	391	30	13317	10000000	1242
BBT15-16B	BBT15_16B_2023Nov24_Tufts_1m	2023-11-24	15	16	1	Tufts Cove	44.67459	-63.59547	12:36	12:45	670		2024-06-14	100	25.8	2.13	1.88	1	0.01	1	500000000	28568	142518	cleaned	18766	108	1000000	93179	cleaned	107742	1618	74	8605	10000000	1017
BBT15-2B	BBT15_2B_2023Nov24_McNabsIsland_1m	2023-11-24	15	2	1	McNabs Island	44.36997	-63.32658	9:17	9:26	880		2024-06-14	100	39	2.39	1.89	0.5	0.01	1	500000000	68283	792921	original	11183	30	1000000	196015	original	20148	228	42	15525	10000000	7595
BBT15-3B	BBT15_3B_2023Nov24_Tufts_10m	2023-11-24	15	3	10	Tufts Cove	44.67464	-63.59552	9:53	10:00	890	Tanja's patch samples (for OAE incubations)	2024-06-14	100	42.3	2.25	1.9	0.5	0.01	1	500000000	68957	870525	original	12552	35	1000000	394553	original	38768	374	44	21699	10000000	8360
BBT15-4B	BBT15_4B_2023Nov24_Tufts_1m	2023-11-24	15	4	1	Tufts Cove	44.67464	-63.59552	9:57	10:05	640	Tanja's patch samples (for OAE incubations)	2024-06-14	100	26.1	2.43	1.91	1	0.01	1	500000000	112680	656496	cleaned	13223	143	1000000	216855	cleaned	98500	2323	23	14495	10000000	5299
BBT15-7B	BBT15_7B_2023Nov24_McKayBridge_27m	2023-11-24	15	7	27	McKay bridge	44.67666	-63.6101	10:41	10:49	1200	Tanja's out-of-patch/control samples (for OAE incubations)	2024-06-14	100	46.5	2.16	1.9	0.5	0.01	1	500000000	36399	853707	original	8596	21	1000000	345006	original	11515	98	33	8400	10000000	7345
